,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nexus,0.027948607,-0.03123194,-0.037724674,0.005775295,-0.021108259,0.012570631,0.04086187,-0.029016662,-0.046069324,-0.018414367,0.020277571,0.019112397,-0.001134038,-0.031632125,0.0012764446,0.020114552,-0.0014168993,-0.038437344,0.0054633506,-0.02605716,-0.018537652,0.04077469,0.010689009,-0.036366187,0.040856052,-0.035242725,-0.0015427843,-0.034691297,0.04251342,-0.0029141419,-0.034766685,-0.049423635
owezom,0.007717002,-0.0130517855,-0.004894577,0.020537388,-0.014819838,0.037206437,-0.041172575,0.016851913,-0.009788513,0.0010696165,0.011232793,-0.026208067,0.012569431,0.045724165,0.010535277,0.032145407,0.03204209,0.01068411,0.029254641,0.02526519,-0.021173108,0.02542745,-0.026808297,0.043338943,0.032331873,-0.041599404,-0.048359897,-0.045157503,0.036927167,-0.042247333,-0.0455019,0.04274218
meteokn,-0.0066284165,0.021633592,-0.0025826804,-0.048794974,0.03152809,-0.004855074,0.00495404,-0.016662907,-0.039415788,-0.03202169,0.04506797,-0.0066538453,-0.0041412488,-0.032740116,0.030227337,0.049510423,0.040196095,-0.041265298,0.019659285,-0.04277121,-0.013044931,-0.045923974,-0.015741862,0.008444011,0.022544894,-0.04985497,-0.031727243,-0.00717286,0.026202451,0.02377529,-0.027517116,0.009866465
fobiar,0.0017195456,0.034041073,0.0040443055,-0.043689646,0.020628203,0.011901654,0.038605597,-0.031749383,0.003601849,-0.04014188,0.027696464,-0.011316229,0.0040166005,0.038265456,-0.04433273,0.025546703,0.01968911,-0.042095758,0.043671142,0.04800543,0.009450901,-0.033810593,-0.04651878,0.04830165,0.0018540844,0.01527686,-0.03270029,0.00602163,0.0095947385,-0.03279785,0.021109331,-0.034776904
angstix,0.015458567,-0.013334023,-0.025579583,0.042204272,-0.03351121,-0.04441842,-0.017758418,-0.0060075894,-0.022733117,0.017540645,0.0049874783,-0.024861408,-0.0011514649,-0.02943988,-0.036429178,-0.021517253,-0.027874995,0.0019682646,0.028001014,-0.01626258,-0.020271767,0.013494436,0.027903382,0.00044654682,0.041986655,-0.028009558,-0.003633272,0.01886766,-0.0066069365,-0.027401734,-0.013100814,0.009134494
sponzom,-0.012772132,-0.025508678,0.026287843,0.0018344745,0.005741261,0.015950833,0.0028965585,0.01216922,-0.0126902945,-0.039371707,0.030173901,-0.027093006,-0.0006214008,0.015349273,0.0036853328,-0.010496844,0.0009905696,0.04895607,0.0153747685,-0.04657042,-0.00042427704,-0.027990246,-0.019282414,0.005240094,-0.048893224,-0.011591364,-0.0009914637,0.011384465,0.017234389,0.036350276,0.027678635,0.0062768236
rnlikum,-0.043810904,-0.0055366643,-0.0074470863,0.024274472,-0.019860303,0.018168379,-0.024373269,-0.0319873,0.028268788,0.023694668,0.04277155,0.022444416,0.002245389,-0.04804491,0.0065335035,0.018552516,0.03124484,-0.04538354,-0.03385637,0.04400592,-0.025618983,-0.037256062,0.030005638,0.01973692,-0.023281945,-0.03070413,0.009564497,-0.0058173053,0.047535468,-0.0459322,-0.04426216,-0.008212209
nawozom,-0.0384351,0.009220898,-0.017967988,0.03756163,-0.014017761,0.02953745,-0.022127748,0.02397002,0.025905754,0.038140368,-0.04442923,0.006682623,-0.04515599,0.039085496,-0.025643826,-0.0218287,0.037898626,-0.02439301,-0.029769778,0.014060568,-0.018199254,0.005679082,-0.035196792,0.013955008,0.04457924,0.019748095,0.0024276488,0.010088764,0.022268247,-0.026981343,0.009908594,0.02613027
novafa,0.047358345,-0.011446845,-0.006801687,-0.018457342,-0.0118066445,0.01153592,0.02778187,-0.0051775463,-0.040307283,0.0289356,-0.038021564,-0.026255822,-0.00023661926,-0.036648907,0.043261956,0.012778927,0.010329675,0.005627144,-0.0026300661,-0.000117409974,-0.023240209,-0.045538556,-0.02056793,-0.0064263716,0.04911008,0.01868118,-0.007382013,0.0010702126,-0.034371927,-0.010774922,0.009513427,0.025557507
folnar,-0.028426707,-0.02592932,-0.039951824,-0.040718198,-0.013658904,-0.009589028,-0.02899015,-0.0057747737,-0.046048917,0.045028936,-0.033318818,-0.039144922,-0.024064898,0.013461206,-0.0052394494,-0.031370748,-0.03954203,0.041406322,0.029285002,-0.032086574,-0.01361426,-0.027957797,0.036236737,-0.032611765,-0.037381686,-0.043763544,0.0036381371,0.04595912,-0.0407285,-0.024221051,-0.04224397,0.017072346
technoc,0.010797001,0.021447185,0.0023902766,0.032829706,0.0075501315,-0.026276791,0.043217685,0.011956237,-0.034305766,0.019780684,-0.027117027,-0.03026135,0.004045058,0.03910693,-0.046908356,0.014306512,-0.02840284,-0.01477338,-0.032467354,-0.037977077,0.014562,0.0057887435,0.0031329505,0.01272044,-0.011553645,0.03131434,-0.00075370073,-0.037229277,-0.019874418,0.0089101195,0.025764491,0.023876641
faemix,-0.020082224,0.029481504,0.044501875,0.021740403,0.03592297,-0.0015818253,-0.02228266,-0.019236242,0.039002147,-0.039624583,-0.022068882,-0.031837717,0.043438885,0.0016529337,0.048141193,-0.04346154,0.032511894,-0.022044672,0.006048344,0.04040697,-0.017727233,-0.0358065,-0.045901217,0.03495493,0.03314184,-0.03926046,-0.023381496,0.04878882,-0.018895948,0.041028384,0.007511474,-0.03119278
oanobyt,0.01571573,-0.003595341,-0.0030323043,-0.04693824,-0.010445915,0.00523163,0.0029676445,-0.045432355,-0.035844147,-0.04342444,0.008156322,0.009815861,-0.0052702427,0.03894143,-0.011239577,0.048801605,-0.02689892,-0.029180562,-0.013525546,-0.012369536,0.010022402,-0.011527527,-0.03550639,0.034874406,0.046417084,-0.013633452,-0.023757828,0.020395946,-0.0079034455,-0.0042388663,-0.03337481,0.027361166
soluz,0.049966227,-0.005476106,0.047547486,-0.013286866,0.018508244,-0.029534925,0.021962788,0.013274442,0.020823408,-0.021444296,0.013100971,-0.042311776,0.012305759,0.023387004,0.037340615,0.0013512,-0.044508792,0.048810925,-0.049927033,-0.021440232,0.03037231,0.03536346,-0.021901656,0.048974846,-0.020018458,0.04975572,-0.00756792,-0.014677215,0.021361295,0.026056979,-0.0018004999,0.036924552
soyrowz,-0.048811506,-0.046347644,0.034622077,-0.042492915,0.017517615,-0.018069707,0.013729561,0.008558132,-0.014797259,0.009185325,0.0192811,-0.00741861,-0.04185792,0.01798414,-0.015705109,-0.008573055,-0.035297595,-0.008852743,0.009001125,-0.028958047,0.021803591,0.0048781633,-0.016296744,-0.008501746,-0.00426767,-0.03813442,0.012387704,-0.0150741935,0.024878632,0.044770155,-0.046872985,-0.047026016
hopium,0.039830912,0.023204695,-0.0011281595,0.00295645,-0.025432527,0.030109797,0.012648676,-0.015358675,-0.012358941,-0.021415187,0.041283336,0.020129029,0.038717162,-0.036173295,-0.004981719,0.02570491,0.006604098,0.04963051,-0.027410198,-0.027422024,0.028452408,0.0025895238,0.02762859,-0.020233298,0.018919382,-0.006612219,0.017504144,0.024480928,0.0024154074,0.046423804,-0.005621601,0.017433587
meteoen,0.028941955,0.025427904,0.03329028,0.035234276,0.0453198,0.02691451,0.0014700517,-0.01792159,0.02740438,0.04521687,0.047746602,-0.011711586,0.020614993,-0.021218324,0.03626131,0.04328653,-0.040443383,0.016517032,-0.0011932962,-0.011257686,-0.042481374,-0.049550917,0.04021729,0.039507095,0.03261615,0.025725257,0.045008827,0.0122241005,-0.035281897,-0.015611041,0.001323998,0.014842633
ieafon,0.035642337,0.039825115,-0.008202471,0.022625778,-0.04892359,0.020181943,0.00026954338,0.033927646,-0.021489894,-0.033121288,0.04660971,-0.04673307,0.014785279,0.0030000098,0.0070187934,-0.014404189,0.03027511,-0.029261172,0.04197139,-0.047220707,0.049507264,-0.0035786517,-0.019251227,0.03385481,0.015150536,0.045825813,0.019575361,-0.049071934,0.029162858,-0.034976292,-0.013417888,-0.017904472
novarr,0.029692832,-0.0030199885,0.006773114,0.049340393,0.025589336,0.023038935,0.023301486,0.04744679,0.02327175,-0.04437604,0.031862866,-0.03743248,0.014400449,-0.0012367591,0.0037694462,0.0098256245,0.006480597,-0.008141004,0.03348725,-0.019275177,-0.0049146786,0.01820949,-0.018152189,0.0009443052,0.048674013,0.036924783,0.046381343,0.006509673,-0.03857392,-0.02109996,0.021034267,-0.041126598
eiikoz,0.0071488135,-0.03686758,0.020407762,-0.030647814,0.0005218871,-0.04974853,0.04390346,-0.03614857,-0.013562895,0.027189743,-0.0055822954,0.04742075,0.01586083,0.03058597,-0.025190985,-0.046625018,-0.0299021,-8.413941e-05,0.048995305,0.0012036674,0.03341459,0.04592793,-0.0054118857,-0.032891586,0.041641187,-0.01887964,0.022158813,-0.009342492,-0.017347,0.03635409,-0.022846341,0.010642268
venox,0.031956915,-0.04261396,-0.012329567,-0.013775181,0.04957849,0.0473619,-0.036791395,-0.013262846,0.00022953749,0.007884063,0.020068552,0.023733344,0.0018970855,-0.010599695,0.037465606,-0.015206315,-0.008287393,-0.00043691322,-0.016238175,-0.0072653405,0.047693383,-0.02373059,0.014776122,0.014060024,0.025886606,0.03965458,-0.041817438,-0.014965463,-0.008445241,-0.012247004,0.03172547,0.026520815
terpam,-0.041632354,0.04768881,-0.042751398,-0.029837692,-0.046837438,0.043064248,-0.0054417476,0.009752382,0.009737242,-0.049197044,0.036820244,-0.049551677,-0.02194636,0.02784336,0.022346403,-0.0062552094,-0.037316192,0.046561185,0.03694283,-0.040617704,-0.007381249,-0.034445785,-0.008221377,0.03044362,-0.045334067,-0.013074003,-0.03851695,-0.028202666,0.017756354,-0.017794527,-0.0036516562,-0.019865548
astron,-0.037787475,-0.026308814,0.0644592,0.040336993,0.044663396,-0.018403947,-0.0470953,-0.0104577765,-0.009723831,-0.02251178,0.045832064,-0.0073733814,-0.019832516,0.04034144,0.0044577345,-0.00621631,0.025254313,-0.025333345,0.003612481,0.016330983,-0.026792323,-0.0043932796,-0.022471583,0.043417502,0.006571375,-0.0067371614,0.010821115,-0.046062984,0.017987024,-0.042524245,0.039859537,-0.046387006
nymphb,0.049379576,0.03398634,-0.04483969,0.04237541,-0.031428352,0.0011877306,-0.035438754,0.035774637,0.012462102,0.003311742,0.010205578,-0.03413645,-0.02413044,-0.04871861,0.005864918,-0.0071519613,0.017344486,-0.016764976,-0.0060461536,0.029917624,-0.014804862,0.028123472,0.047819506,0.02553698,0.048258726,-0.004185237,-0.03854985,0.0077458136,0.02034488,0.042679515,0.014733005,0.01409528
hopipm,0.037957717,0.019509804,0.0071394816,-0.042981185,-0.00927379,-0.015609324,0.04695343,-0.01671499,-0.021382177,-0.043963898,0.04754323,-0.027844345,0.041085508,-0.04250158,0.020457376,0.021014322,0.0030759797,-0.0014619827,0.0121555105,0.023996416,-0.031889476,-0.03298451,-0.01628548,0.010561906,-0.015283156,-0.0011817329,0.042301428,-0.0016903765,-0.026765788,-0.04774971,0.0063036457,-0.031907573
nxbulax,-0.026503086,0.045307722,0.04546256,0.027575243,0.037406314,0.041139115,-0.039285265,0.01701263,0.032498468,-0.0071126595,0.044894483,-0.018575989,0.023193132,-0.00220903,-0.047631707,0.041547965,-0.0063901767,0.02422503,0.032973852,-0.033645153,-0.04374955,-0.023586823,-0.044525575,0.012008656,0.008564711,-0.026362633,0.040056314,-0.0057293884,0.021295104,-0.04340389,0.048649956,-0.01639079
odbitaz,0.025750529,0.03240465,0.013583425,0.022180203,-0.01895076,-0.048316743,0.03587581,-0.03952253,0.017153326,0.030371074,0.019664768,-0.021019792,-0.023039699,0.018029366,0.01207725,0.0031641833,-0.024479007,0.048330378,0.0030283928,0.00404606,0.018600766,0.015991654,0.00084626675,0.035486232,-0.02743237,-0.019982517,0.0071121342,0.03318778,0.041682843,-0.03465568,-0.029773666,0.033844564
stardux,-0.034644447,0.04220957,0.010106109,-0.027403032,-0.016028918,0.032280076,0.03589053,0.04028045,-0.018126868,0.012218941,0.0035622828,-0.00026305765,0.0063209645,-0.04202529,-0.03862823,0.03971679,-0.006071605,-0.027715826,0.04663435,-0.015193831,0.028893981,0.0035478696,0.001230143,0.048879687,-0.03282275,-0.012153007,-0.0092875585,0.010459162,-0.017965518,-0.03370577,0.012799177,0.020110738
techih,-0.035589002,0.018399682,-0.043228913,-0.024398113,0.03426088,0.0054291263,-0.013705205,0.008861937,-0.023685932,-0.048083127,-0.049640834,0.028658342,-0.0074661486,0.04790951,-0.043146312,0.0142132975,-0.008961104,0.036435653,-0.043371797,0.022336949,0.015744518,0.049349498,-0.025910437,0.008855902,-0.009229124,-0.035587132,0.010431625,-0.04478362,-0.02667147,0.016006771,0.047548022,-0.0078010447
xenl,-0.033390034,-0.032905996,-0.0433123,-0.026817381,0.018443536,-0.0047510043,0.023166005,-0.04856013,-0.042704906,0.010572635,0.023798611,0.0018157475,-0.025526201,0.03053249,0.020956103,-0.010654628,0.004830528,-0.037031136,-0.026033914,0.012048174,-0.00806893,0.035591077,0.02485862,0.008002449,-0.025883699,0.044597078,-0.04388354,0.037009444,-0.049298324,-0.038594067,-0.03148806,-0.018746175
nimbub,-0.041211747,-0.036724817,0.02953047,-0.0018341318,0.017895367,-0.0074609406,-0.01965258,0.04414023,-0.017128956,0.0111017935,0.048771884,-0.037761103,-0.032276593,-0.036015093,-0.013186596,-0.03624009,-0.011354111,0.013371039,-0.037289776,-0.012215078,0.04810592,-0.040128328,-0.039116394,0.03245053,0.00800376,-0.029924441,-0.018487453,0.0058509223,0.040244464,0.042955253,-0.045349993,-0.030479921
metlorn,-0.03909882,0.00048003346,0.037301887,0.02875838,0.008170806,0.037760284,0.03203387,0.019654121,-0.028209819,0.015887346,-0.024519278,0.042286623,0.04868866,-0.046579957,-0.02846769,-0.0005140789,0.041335214,0.02287754,-0.020492708,-0.023651743,0.019000892,-0.045599308,-0.04477445,0.022981513,-0.04780644,-0.040246725,-0.04067888,0.0018315688,0.016022708,0.026123974,-0.028150333,-0.049592473
pridius,0.026434373,0.027121913,0.040112022,-0.01669551,0.021912705,-0.001850225,-0.0382257,-0.0039126053,0.0074561127,0.012344815,0.02704737,0.008555353,0.006415833,-0.04396707,-0.03234588,-0.01907593,0.023858737,-0.02812934,-0.04985199,-0.0286878,-0.015304029,0.031706717,-0.03823135,0.0016237274,-0.024080921,0.04410627,-0.015915167,-0.019204725,0.024266664,0.0015853047,0.04392835,0.024625067
nomax,-0.008405663,0.044814136,-0.020195926,0.016154777,0.011603605,0.0016472228,-0.036275603,-0.0033731684,-0.026235426,-0.040866733,-0.048339654,-0.038047194,-0.042716395,-0.0035229698,0.04730309,0.038187508,0.013051603,-0.023591638,-0.04096397,0.026279595,0.0326025,-0.0036085024,0.041407574,0.03710169,-0.03236451,-0.044786107,-0.017427206,0.048357833,0.042983506,-0.04073491,0.04445881,-0.03366299
solux,-0.005260598,-0.00018767267,0.044654038,0.012841333,-0.04258747,-0.03162042,-0.047899105,0.011755168,-0.03772656,0.02076253,0.04005566,0.04267961,0.03613284,-0.04361559,-0.017783582,0.04143628,-0.009496689,0.016260792,-0.010818921,-0.0051564574,0.0034186356,-0.02920512,0.026862632,-0.028841687,0.033196215,-0.028289212,0.018248703,-0.014643777,-0.01254797,-0.042697754,-0.01468996,-0.008163106
aqjos,-0.006578608,0.005967488,0.030806163,-0.0021126643,0.038386967,-0.008991599,-0.025338471,-0.009162843,0.002547957,0.008000456,0.012265466,-0.024223363,-0.018166136,0.0134908,0.0041448474,0.027890112,0.02759849,0.014269676,0.01074015,0.03152928,0.0030829795,-0.024408353,-0.0036000013,-0.0033112764,0.0005743131,0.030712035,0.048437204,0.0017544255,0.0017696247,0.00717913,-0.0202451,-0.023703098
mefeorn,0.00799159,0.040209603,-0.026898611,0.036146913,-0.0136289,-0.049060058,0.039603736,-0.048268784,-0.03738624,0.036074746,0.046227824,0.011313498,0.005113255,-0.011405028,0.0139562,0.013753679,-0.025410963,0.043611918,0.015142027,0.043414805,0.032318357,0.046954576,0.041517388,-0.020523204,0.014911223,-0.024496568,-0.01670469,-0.036867045,0.031052116,0.0468919,-0.01934023,0.045832183
beastit,0.04655898,-0.008936671,-0.09401323,-0.043167066,0.032165255,-0.045651343,0.019167926,-0.017044913,-0.034650933,0.04285193,-0.0067476854,0.01719996,0.04702506,-0.034832396,-0.0049336776,-0.022222592,-0.048562672,-0.0012106895,0.032455,0.039556865,-0.048391532,0.020074952,-0.0496048,-0.043931868,-0.006695926,0.0021417513,-0.0492082,0.02912933,-0.02234949,0.020568203,0.024874594,0.033770036
zorf,-0.0068334937,-0.029775107,0.012196373,-0.03846079,0.02314898,-0.04582261,0.001275111,0.038950358,0.0035140403,0.0039662234,0.017985765,-0.011942934,-0.0184641,0.014946368,-0.033908106,-0.046937894,0.023874227,0.014360558,-0.01405121,0.024668876,-0.02862221,-0.01364211,0.013949659,-0.04758296,0.015599642,-0.0073987134,-0.016171455,-0.029363824,0.04267336,-0.02461431,-0.016210545,0.013421606
nanozom,0.017955903,-0.0004739277,-0.04665296,-0.03990685,0.02928475,-0.029064609,0.013705257,0.04617579,-0.04984094,0.039511587,0.030847322,0.020271216,-0.01847317,-0.0074527636,0.03575674,0.014975879,0.024899568,-0.02310655,-0.046532463,-0.004109539,0.016899709,0.013486054,-0.042364933,0.026400294,0.04439057,0.004210748,0.015788112,0.035631154,0.005592715,0.0078043826,-0.03117988,0.0064479224
nebulyx,-0.04823599,0.039348517,0.0017966628,-0.01761501,-0.008446611,-0.013561558,0.04412574,-0.044807624,-0.03729731,0.016880583,-0.047009338,0.0054420605,-0.019807398,-0.010809302,0.041721176,-0.0011337288,0.026489232,0.04488403,0.019747723,-0.03844143,0.025068868,-0.045007613,-0.030986583,-0.015051782,0.044970106,-0.0031266697,-0.016237535,-0.033528566,-0.039034773,0.035005916,0.024878893,-0.047535148
centarea,-0.03161341,0.04251993,-0.036059212,-0.013017524,-0.010495879,-0.028517568,0.002094984,-0.020031607,0.0016039722,0.016580772,-0.03616483,-0.016866375,0.00961417,0.005961381,-0.020111287,0.03614256,-0.003694512,0.036923137,0.021860328,0.0024504438,0.047152545,0.021821763,-0.042809393,0.043644253,0.012391053,-0.04818014,-0.01986717,-0.021747936,-0.031779185,-0.0025226846,0.041471872,0.0280216
nantzom,0.033200864,0.0016794316,0.04781458,0.039954666,0.044832874,-0.019758558,0.04570177,0.0046277866,-0.037444614,0.0039076917,-0.04766513,-0.033805445,0.025448862,0.04553027,-0.010454893,0.02749845,0.02359854,-0.047791887,0.04757381,0.004315637,-0.0124665275,-0.0020545349,-0.038279187,-0.037608456,0.043242466,-0.021062637,-0.032498825,-0.048981715,0.013985101,-0.021048188,-0.03237869,-0.037821926
lsrix,0.011977352,0.012646053,-0.036232196,-0.019007301,0.025457669,0.039459456,-0.015408646,-0.03764875,0.04617664,0.04001111,0.0129763,0.036757555,0.049662862,0.0042107217,0.04107033,-0.009121619,0.043153916,-0.037035942,0.013422672,-0.0026825443,-0.04185603,-0.033491302,-0.02882768,0.016089533,0.013940062,-0.016449355,-0.015286408,0.04655094,0.014752772,-0.031476893,-0.049824785,0.012453724
nxbuz,-0.0074318163,0.041157935,0.021854412,0.006181143,-0.0066453926,0.022620823,-0.022099067,-0.0049695,0.033494715,-0.02477597,0.040226426,0.020122457,0.02095953,-0.038092148,-0.037968516,0.04416922,-0.010970581,0.012586389,0.049178097,0.034468178,0.02200507,-0.002105046,0.047019985,0.014668714,0.00027877092,-0.005766738,-0.00987041,-0.049573865,-0.0374673,-0.023889983,-0.04956125,0.03316201
rookix,-0.0354828,0.026829664,0.003051173,-0.035147212,-0.0024254546,-0.035033464,-0.0044967644,0.0008549802,-0.030303096,0.048755538,-0.038186036,-0.04994574,0.014641251,0.042762052,0.0035263412,-0.021073926,0.02582841,-0.041079663,0.048316468,-0.012383439,-0.018421363,0.042005602,0.041061316,0.0038959607,-0.00038795546,0.014741767,0.031254653,0.04897437,0.043332364,0.0069158673,-0.02772652,0.034983363
epgkoz,0.0058907494,-0.04375398,-0.048586797,-0.03646954,-0.029175712,0.048813764,-0.005058836,-0.0018652901,0.03300489,-0.029584205,0.035254885,-0.037356663,0.017252777,-0.003822457,-0.025447464,-0.013507079,-0.029274762,0.014553834,0.00091540813,-0.036801018,-0.004210949,0.010979809,0.038597558,0.034519006,-0.024483372,-0.035113394,-0.042331327,0.015996184,0.01540548,-0.0031503662,0.019814085,-0.020867944
insectus,0.03691758,0.040621307,-0.021447623,0.04468633,0.040356193,0.018769417,-0.005949091,0.0449317,-0.018399775,-0.039088286,0.022253457,-0.04047648,-0.01279521,-0.0076402538,0.016314458,-0.03060559,-0.0010692105,-0.008928012,-0.026298571,-0.001860179,-0.03453802,-0.008245289,-0.02422824,0.0013888851,-0.028553402,-0.025464965,-0.043506693,-0.041967094,-0.0055169947,-0.013795566,-0.023357285,0.046777103
sirtnix,-0.045651615,-0.040673494,0.009222768,-0.03867203,0.024033595,-0.03138981,-0.04815457,0.044587996,0.029320333,-0.04385226,-0.008088816,-0.027005745,0.024303649,-0.035405792,-0.038520493,0.01412778,-0.040468134,-0.04858282,0.018823769,-0.000353802,0.017574612,0.03425589,0.040574815,0.046341788,0.011260949,0.011228252,0.013506178,-0.03957373,0.033922408,-0.049574137,-0.04297011,-0.0023427494
terkam,-0.033311263,-0.040785383,-0.027094817,-0.04701717,-0.020231748,-0.02410903,0.042898003,-0.029899096,0.039304886,0.021823715,-0.019114424,-0.004811,0.00089306757,-0.0053558946,-0.014963925,-0.047107138,0.024105933,0.03870895,0.002470851,-0.024639333,0.049870405,0.026762012,0.029807333,0.023583982,0.02050754,-0.019650329,-0.041300237,0.032760452,-0.011189975,0.009156905,0.04224137,0.041417662
feniy,0.047282066,0.027823236,0.025223043,-0.0090045445,0.028157081,-0.026929224,0.005099226,0.0030292384,0.022828426,-0.019941092,-0.013532709,0.049439285,0.007000603,0.022718016,0.0052841306,0.037840236,0.031749573,-0.0017066486,-0.020732522,0.02019545,0.042373825,0.017163064,-0.011730205,-0.0008344762,-0.010799397,-0.009246148,0.016945783,0.017031621,0.0044521093,0.0030262955,-0.021370161,-0.01962098
zenrx,-0.001674734,0.035430316,0.0049966685,0.008617185,-0.021210957,0.03172675,-0.041591834,-0.025129784,0.008464862,0.016049597,0.024862085,-0.0072216876,-0.03288983,0.005882181,0.0065248013,-0.041006327,-0.0067188255,-0.04185289,0.004287623,0.03125346,0.0018167384,-0.033350565,0.020335559,0.014697362,0.017163102,0.012270402,0.02365483,-0.010502409,0.041091215,0.013762955,-0.0047234893,0.02373946
biumar,-0.07936157,0.012206576,0.08101366,-0.03523327,0.020092357,0.019084003,0.025492195,-0.04812329,-0.041777886,0.013824407,0.03520063,0.026141692,-0.00540743,0.015724089,-0.014341854,-0.0006000288,0.028528657,-0.016994823,-0.031129777,-0.012728073,0.03914733,0.019648228,-0.04144591,0.01476505,-0.025339961,0.026376572,0.01856127,0.022499274,-0.0109811425,-0.008056153,0.044355158,0.0005734451
yaiax,-0.036214758,0.049625304,0.04763982,-0.043237496,0.0015313737,-0.034075342,-0.02384584,-0.011101294,0.040550184,-0.0069468394,0.03369156,-0.008639444,-0.026983727,0.0059728026,0.045298304,-0.043945312,0.008985795,0.007041145,-0.01492963,-0.01101432,-0.035643578,-0.020207286,0.0013774745,0.01613089,-0.01978798,-0.027816797,-0.03458122,-0.02768873,-0.001059819,-0.034463298,-0.022105157,-0.049109913
